Hero,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Spectre,10,5,5,0.5,6,4,6.7,4.1,12.4,7.04,4.66,621,679,386,14,24,36134,3515,0,24257
Shadow Fiend,10,5,5,0.5,4,6,7.8,3.5,8,5.6,4.51,622,621,401,23,22,24797,4950,168,23740
Bane,9,3,6,0.3333,4,5,1.89,7.33,11.44,3.01,1.82,228,305,24,3,15,5630,204,246,7952
Treant Protector,9,7,2,0.7778,7,2,3.11,5.67,15.22,3.24,3.24,278,439,63,5,19,8649,314,6696,9587
Tusk,9,5,4,0.5556,8,1,2.78,8.22,14.78,2.09,2.14,298,409,58,4,20,12705,287,415,10497
Mars,8,1,7,0.125,4,4,7.5,4.75,7.75,3.38,3.21,446,481,224,13,18,20138,1069,729,16472
Troll Warlord,8,3,5,0.375,7,1,7,4.62,8.62,3.19,3.38,568,598,330,18,21,25092,6054,0,20814
Medusa,8,5,3,0.625,4,4,4.5,2.75,9.25,7.99,5,659,691,394,9,22,20480,6680,0,21442
Arc Warden,8,4,4,0.5,2,6,7.75,5.5,8.88,2.84,3.02,718,622,530,23,24,68165,6259,0,33551
Lich,7,2,5,0.2857,3,4,2,8.14,11.14,1.94,1.61,230,331,44,2,17,10451,201,53,8748
Meepo,7,5,2,0.7143,1,6,11.14,3.43,4.71,5.9,4.62,703,742,368,10,22,23748,5888,0,19779
Pugna,7,2,5,0.2857,3,4,5.86,6,11.29,3.02,2.86,417,468,167,13,19,24318,3511,1285,12601
Anti-Mage,7,3,4,0.4286,3,4,6.57,3.43,6.14,5.63,3.71,673,701,513,21,23,22264,4418,0,25522
Weaver,7,2,5,0.2857,5,2,8,4.86,9.86,3.78,3.68,594,751,426,14,24,32202,3537,67,26699
Terrorblade,7,3,4,0.4286,3,4,4.43,3.14,5.86,4.99,3.27,670,593,443,9,22,18479,5967,109,22929
Lone Druid,6,0,6,0,5,1,2,3.17,3.5,1.17,1.74,486,439,240,12,17,12048,6676,98,15524
Slardar,6,4,2,0.6667,3,3,5,5.33,11.83,3.93,3.16,454,552,166,12,21,14283,1187,257,15170
Nature's Prophet,6,3,3,0.5,2,4,5.17,5.17,14.17,4.28,3.74,590,573,338,17,22,21845,4864,335,20168
Phoenix,6,1,5,0.1667,5,1,3,5.5,9.5,2.37,2.27,359,420,129,7,18,16182,261,2549,12802
Monkey King,6,4,2,0.6667,5,1,12.33,5.33,12,5.76,4.56,625,723,287,14,23,31334,5462,0,18481
Necrophos,6,3,3,0.5,3,3,6.17,3.83,7,3.35,3.43,548,596,345,14,22,22435,1799,5609,19825
Phantom Lancer,5,1,4,0.2,4,1,5,3.2,3.8,2.27,2.75,644,636,426,6,21,18417,4763,0,23770
Underlord,5,2,3,0.4,3,2,3.8,4.4,13,4.43,3.82,457,550,279,16,22,17354,1813,1922,17573
Vengeful Spirit,5,0,5,0,4,1,1.8,10.6,12.4,1.28,1.34,259,341,94,7,18,8085,291,1387,10665
Sniper,5,2,3,0.4,2,3,8.2,3.4,10.2,5.17,5.41,706,666,536,24,24,39460,4111,80,31063
Visage,5,3,2,0.6,2,3,3.6,4.2,9.2,4.84,3.05,333,392,78,8,14,12787,4752,93,9591
Tinker,5,4,1,0.8,1,4,8.2,3.4,10,4.9,5.35,628,644,368,9,23,42005,169,546,22385
Dark Seer,5,4,1,0.8,2,3,4.8,2.2,15.6,8.26,9.27,441,495,211,2,19,15076,1181,3892,14372
Zeus,5,0,5,0,1,4,5.6,7.2,14,2.51,2.72,435,602,242,14,23,55530,117,25,16116
Pudge,5,1,4,0.2,2,3,2.8,8.6,11.6,1.64,1.67,381,484,175,10,20,14350,333,6,12859
Puck,4,1,3,0.25,1,3,5.75,5,11.75,3,3.5,470,576,223,8,21,20373,965,289,16376
Dazzle,4,1,3,0.25,2,2,3.5,5.25,9.5,2.25,2.48,421,453,250,15,19,15354,2124,6475,14781
Viper,4,2,2,0.5,1,3,7,6,8.75,2.61,2.62,521,592,256,10,21,22076,2353,2282,16619
Disruptor,4,0,4,0,3,1,1.75,7.5,9.25,1.31,1.47,229,287,35,3,14,8132,145,179,6461
Bloodseeker,4,1,3,0.25,0,4,8.5,5,9,3.28,3.5,547,575,295,20,22,23650,1322,921,19546
Skywrath Mage,3,2,1,0.6667,2,1,7.67,6.67,10.67,3.81,2.75,346,490,65,3,19,28529,126,42,14087
Doom,3,1,2,0.3333,2,1,3,5,6,1.68,1.8,473,461,175,10,20,12023,171,267,15622
Drow Ranger,3,0,3,0,0,3,3,5.67,12,2.4,2.65,562,596,484,17,25,19786,1196,0,28190
Winter Wyvern,3,3,0,1,2,1,1.67,3.33,15,5.44,5,369,436,79,3,19,14326,274,4291,11168
Venomancer,2,0,2,0,2,0,3,5.5,2.5,0.91,1,548,462,210,3,16,19476,1198,0,12670
Techies,2,0,2,0,1,1,7,9,9.5,1.65,1.83,396,347,126,1,16,32206,0,48,12038
Spirit Breaker,2,1,1,0.5,2,0,1,5,9.5,2.06,2.1,248,232,20,2,9,4598,206,0,3960
Brewmaster,2,0,2,0,1,1,1,4,4.5,1.21,1.38,352,406,177,7,20,7626,260,1590,13352
Huskar,2,0,2,0,1,1,5,5.5,4.5,1.54,1.73,497,536,356,16,22,18681,3554,200,20865
Bounty Hunter,2,0,2,0,2,0,1.5,8.5,10,1.25,1.35,250,366,50,4,20,10398,160,0,11602
Luna,1,0,1,0,0,1,5,5,5,1.67,2,784,683,584,14,25,31254,5283,0,35085
Undying,1,0,1,0,0,1,0,5,16,2.67,3.2,205,293,37,4,18,9297,247,2549,10210
Night Stalker,1,1,0,1,1,0,4,1,15,9.5,19,335,384,87,12,17,8726,359,1486,9915
Chaos Knight,1,0,1,0,0,1,7,7,8,1.88,2.14,672,641,375,9,24,25996,2829,0,26540
Lycan,1,0,1,0,0,1,4,4,2,1.2,1.5,409,418,204,19,18,13732,2458,0,13780
Riki,1,0,1,0,0,1,9,10,7,1.45,1.6,414,452,283,25,24,37026,359,0,18940
Clinkz,1,0,1,0,0,1,5,3,6,2.75,3.67,388,475,137,12,17,23545,865,0,8985
