,L,a,b,file
0,68.70645393818553,1.5494150895830678,7.113850431693744,tile-images/0200cacc475d10fe4f8b1571d8caa1a0.jpg
1,17.53521133984943,-0.000646341387136373,0.0012251576383877005,tile-images/0264a29b091cde2bf5bfabad14c24634.jpg
2,62.102998964931174,3.526037823541129,6.037373728599683,tile-images/02b4cf6897f9ebb7e7c3bcf7f80ecebf.jpg
3,51.14095658164302,3.535707163891525,4.1841740504083,tile-images/033b4e72e4f1dde7c04d5ac3b9822b02.jpg
4,39.01895142081027,5.482047130489847,12.940740129715266,tile-images/06ec9dac26d49a4c90fe625cc04400a9.jpg
5,39.8004769942774,6.917054053239612,19.22950021197297,tile-images/07158e4dcd949fca28b3e7c98aa7974c.jpg
6,60.67358001927176,0.29637819327326625,3.68151864631923,tile-images/07c9d72ecbe39eb34bec51899243eff0.jpg
7,42.093702965251694,7.698943591953656,5.860148626905319,tile-images/0ac67215344f0bc9ea4ce88f6668d8a5.jpg
8,30.83996958367237,-2.496400500307376,-3.025628624716678,tile-images/129bb13a15aabaae5f317923f9361027.jpg
9,49.67633351793259,0.05340058710518428,5.0475839126773066,tile-images/1445f51120b457c2cfd807c5336837fb.jpg
10,48.50445368406655,5.1512101954434675,-2.458045696936841,tile-images/144e8ad5c2a4724ea4d866deeff2f540.jpg
11,59.51686726061314,0.7766519556681998,6.413392692512111,tile-images/1650dd446631986228975fee5ae01030.jpg
12,79.70522145149876,-0.15744871803746807,28.310579364052224,tile-images/179602df95a070ea1aff06cffe61eb73.jpg
13,38.48323583472184,0.9314736064178096,2.6694021746901595,tile-images/18380c9b9db24fdf4dda37e4dae0571f.jpg
14,46.73649053472263,-15.506185967371671,5.719290359395055,tile-images/18b760856220e8020e1790a33a282232.jpg
15,46.95626540229095,2.8421544952399347,7.600879131975432,tile-images/18ca8a5ef8981167c62a5d648ec190cf.jpg
16,41.34540385638221,17.064698400864085,16.09192249392899,tile-images/18eea97969cd369ce0ed32756d641c2f.jpg
17,32.321793060331096,16.46939670969427,12.667553198794753,tile-images/1ad79349aefb7ec38648679b7d1dee0c.jpg
